ds,y
2023/5/6,19.9 
2023/5/7,15.3 
2023/5/8,11.2 
2023/5/9,13.1 
2023/5/10,15.3 
2023/5/11,13.7 
2023/5/12,14.8 
2023/5/13,14.5 
2023/5/14,14.6 
2023/5/15,14.0 
2023/5/16,17.2 
2023/5/17,19.8 
2023/5/18,22.0 
2023/5/19,17.9 
2023/5/20,16.3 
2023/5/21,18.3 
2023/5/22,19.5 
2023/5/23,12.0 
2023/5/24,15.8 
2023/5/25,16.1 
2023/5/26,17.4 
2023/5/27,18.4 
2023/5/28,18.7 
2023/5/29,17.2 
2023/5/30,18.5 
2023/5/31,16.7 
2023/6/1,18.0 
2023/6/2,18.5 
2023/6/3,17.3 
2023/6/4,18.7 
2023/6/5,20.0 
2023/6/6,17.9 
2023/6/7,19.5 
2023/6/8,20.0 
2023/6/9,17.5 
2023/6/10,19.4 
2023/6/11,18.4 
2023/6/12,18.5 
2023/6/13,20.5 
2023/6/14,20.5 
2023/6/15,18.8 
2023/6/16,21.3 
2023/6/17,22.0 
2023/6/18,22.3 
2023/6/19,20.5 
2023/6/20,19.5 
2023/6/21,19.6 
2023/6/22,17.2 
2023/6/23,18.3 
2023/6/24,21.4 
2023/6/25,22.4 
2023/6/26,22.5 
2023/6/27,22.5 
2023/6/28,23.5 
2023/6/29,23.7 
2023/6/30,22.8 
2023/7/1,21.9 
2023/7/2,22.5 
2023/7/3,23.7 
2023/7/4,22.5 
2023/7/5,21.8 
2023/7/6,22.9 
2023/7/7,24.6 
2023/7/8,24.1 
2023/7/9,24.8 
2023/7/10,26.2 
2023/7/11,25.5 
2023/7/12,26.7 
2023/7/13,24.3 
2023/7/14,23.8 
2023/7/15,25.0 
2023/7/16,26.2 
2023/7/17,27.1 
2023/7/18,27.6 
2023/7/19,25.7 
2023/7/20,24.4 
2023/7/21,23.6 
2023/7/22,23.6 
2023/7/23,24.0 
2023/7/24,24.7 
2023/7/25,25.8 
2023/7/26,26.9 
2023/7/27,26.5 
2023/7/28,26.4 
2023/7/29,26.0 
2023/7/30,26.3 
2023/7/31,26.6 
2023/8/1,22.5 
2023/8/2,25.1 
2023/8/3,26.2 
2023/8/4,27.1 
2023/8/5,26.4 
2023/8/6,24.8 
2023/8/7,25.5 
2023/8/8,26.1 
2023/8/9,24.4 
2023/8/10,25.6 
2023/8/11,25.6 
2023/8/12,25.7 
2023/8/13,23.8 
2023/8/14,24.8 
2023/8/15,24.8 
2023/8/16,24.4 
2023/8/17,25.9 
2023/8/18,26.0 
2023/8/19,26.3 
2023/8/20,26.3 
2023/8/21,25.8 
2023/8/22,24.8 
2023/8/23,25.5 
2023/8/24,25.6 
2023/8/25,25.7 
2023/8/26,24.4 
2023/8/27,24.3 
