ds,y
2024/1/19,58.0 
2024/1/20,69.0 
2024/1/21,90.0 
2024/1/22,76.0 
2024/1/23,65.0 
2024/1/24,31.0 
2024/1/25,30.0 
2024/1/26,35.0 
2024/1/27,38.0 
2024/1/28,50.0 
2024/1/29,51.0 
2024/1/30,52.0 
2024/1/31,63.0 
2024/2/1,48.0 
2024/2/2,43.0 
2024/2/3,44.0 
2024/2/4,77.0 
2024/2/5,75.0 
2024/2/6,93.0 
2024/2/7,69.0 
2024/2/8,59.0 
2024/2/9,56.0 
2024/2/10,61.0 
2024/2/11,47.0 
2024/2/12,50.0 
2024/2/13,52.0 
2024/2/14,45.0 
2024/2/15,63.0 
2024/2/16,46.0 
2024/2/17,58.0 
2024/2/18,69.0 
2024/2/19,85.0 
2024/2/20,78.0 
2024/2/21,91.0 
2024/2/22,95.0 
2024/2/23,93.0 
2024/2/24,60.0 
2024/2/25,84.0 
2024/2/26,57.0 
2024/2/27,39.0 
2024/2/28,40.0 
2024/2/29,62.0 
2024/3/1,68.0 
2024/3/2,38.0 
2024/3/3,41.0 
2024/3/4,41.0 
2024/3/5,71.0 
2024/3/6,83.0 
2024/3/7,56.0 
2024/3/8,88.0 
2024/3/9,53.0 
2024/3/10,40.0 
2024/3/11,49.0 
2024/3/12,79.0 
2024/3/13,46.0 
2024/3/14,51.0 
2024/3/15,49.0 
2024/3/16,47.0 
2024/3/17,56.0 
2024/3/18,30.0 
2024/3/19,41.0 
2024/3/20,54.0 
2024/3/21,34.0 
2024/3/22,34.0 
2024/3/23,63.0 
2024/3/24,83.0 
2024/3/25,98.0 
2024/3/26,94.0 
2024/3/27,54.0 
2024/3/28,68.0 
2024/3/29,88.0 
2024/3/30,66.0 
2024/3/31,61.0 
2024/4/1,73.0 
2024/4/2,50.0 
2024/4/3,83.0 
2024/4/4,79.0 
2024/4/5,71.0 
2024/4/6,81.0 
2024/4/7,83.0 
2024/4/8,85.0 
2024/4/9,78.0 
2024/4/10,47.0 
2024/4/11,62.0 
2024/4/12,73.0 
2024/4/13,68.0 
2024/4/14,66.0 
2024/4/15,65.0 
2024/4/16,66.0 
2024/4/17,70.0 
2024/4/18,67.0 
2024/4/19,46.0 
2024/4/20,48.0 
2024/4/21,67.0 
2024/4/22,89.0 
2024/4/23,82.0 
2024/4/24,94.0 
2024/4/25,78.0 
2024/4/26,72.0 
2024/4/27,84.0 
2024/4/28,71.0 
2024/4/29,80.0 
2024/4/30,84.0 
2024/5/1,92.0 
2024/5/2,70.0 
2024/5/3,63.0 
2024/5/4,57.0 
2024/5/5,65.0 
2024/5/6,68.0 
2024/5/7,88.0 
2024/5/8,83.0 
2024/5/9,70.0 
2024/5/10,50.0 
2024/5/11,61.0 
2024/5/12,65.0 
2024/5/13,96.0 
2024/5/14,71.0 
2024/5/15,76.0 
2024/5/16,79.0 
2024/5/17,50.0 
2024/5/18,59.0 
2024/5/19,75.0 
2024/5/20,92.0 
2024/5/21,74.0 
2024/5/22,61.0 
2024/5/23,75.0 
2024/5/24,67.0 
2024/5/25,52.0 
2024/5/26,63.0 
2024/5/27,84.0 
2024/5/28,91.0 
2024/5/29,71.0 
2024/5/30,73.0 
2024/5/31,90.0 
2024/6/1,75.0 
2024/6/2,88.0 
2024/6/3,88.0 
2024/6/4,75.0 
2024/6/5,64.0 
2024/6/6,72.0 
2024/6/7,67.0 
2024/6/8,66.0 
2024/6/9,76.0 
2024/6/10,85.0 
2024/6/11,73.0 
2024/6/12,74.0 
2024/6/13,81.0 
2024/6/14,67.0 
2024/6/15,75.0 
2024/6/16,86.0 
2024/6/17,75.0 
2024/6/18,100.0 
2024/6/19,72.0 
2024/6/20,75.0 
2024/6/21,94.0 
2024/6/22,67.0 
2024/6/23,95.0 
2024/6/24,81.0 
2024/6/25,76.0 
2024/6/26,73.0 
2024/6/27,70.0 
2024/6/28,98.0 
2024/6/29,87.0 
2024/6/30,84.0 
2024/7/1,89.0 
2024/7/2,80.0 
2024/7/3,77.0 
2024/7/4,75.0 
2024/7/5,70.0 
2024/7/6,84.0 
2024/7/7,84.0 
2024/7/8,73.0 
2024/7/9,72.0 
2024/7/10,70.0 
2024/7/11,77.0 
2024/7/12,93.0 
2024/7/13,82.0 
2024/7/14,95.0 
2024/7/15,87.0 
2024/7/16,90.0 
2024/7/17,87.0 
2024/7/18,77.0 
2024/7/19,72.0 
2024/7/20,76.0 
2024/7/21,79.0 
2024/7/22,75.0 
2024/7/23,82.0 
2024/7/24,69.0 
2024/7/25,72.0 
2024/7/26,73.0 
2024/7/27,76.0 
2024/7/28,67.0 
2024/7/29,61.0 
2024/7/30,68.0 
2024/7/31,77.0 
